run_id,segment_index,t_lo,t_hi,h,pytorch_final_width_x,pytorch_final_width_y,pytorch_final_width_sum,pytorch_reset_width_x,pytorch_reset_width_y,pytorch_reset_width_sum,flowstar_width_x,flowstar_width_y,flowstar_width_sum,final_ratio_x,final_ratio_y,final_ratio_sum,reset_ratio_x,reset_ratio_y,reset_ratio_sum,residual_width_sum,target_remainder_width_sum,validation_attempts,step_rejections,candidate_order,output_order,crosses_2x,crosses_5x,crosses_10x,crosses_20x,crosses_50x
flowstar_style_o6_candidate8_output6_cutoff,0,0,0.050000000000000003,0.050000000000000003,0.30240759619482227,0.20399703114191325,0.50640462733673552,0.30240759619482227,0.20399703114191325,0.50640462733673552,0.43757000000000001,0.33897500000000003,0.77654500000000004,0.69110678564531902,0.60180553475009435,0.65212528229109135,0.69110678564531902,0.60180553475009435,0.65212528229109135,0.00010984981524148314,0.00040000000000000007,1,1,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,1,0.050000000000000003,0.125,0.075000000000000011,0.31152390070493996,0.34657522833204357,0.65809912903698353,0.31152390070493996,0.34657522833204357,0.65809912903698353,0.4964599999999999,0.61713200000000001,1.1135919999999999,0.62749043368033686,0.56159011091961453,0.59096969898938179,0.62749043368033686,0.56159011091961453,0.59096969898938179,0.00018850912887237608,0.00040000000000000007,1,0,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,2,0.125,0.17499999999999999,0.050000000000000003,0.32585299268012236,0.43174141267166721,0.75759440535178957,0.32585299268012236,0.43174141267166721,0.75759440535178957,0.41310400000000014,0.64465699999999981,1.057761,0.78879166669923861,0.66972267837263433,0.71622455862126666,0.78879166669923861,0.66972267837263433,0.71622455862126666,0.00012217094485644198,0.00040000000000000007,1,1,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,3,0.17499999999999999,0.25,0.075000000000000011,0.35113547224205832,0.53059217976118722,0.88172765200324554,0.35113547224205832,0.53059217976118722,0.88172765200324554,0.4315469999999999,0.85750300000000013,1.28905,0.81366681321399148,0.61876422561925393,0.6840135386550138,0.81366681321399148,0.61876422561925393,0.6840135386550138,0.00020596485179629105,0.00040000000000000007,1,0,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,4,0.25,0.29999999999999999,0.050000000000000003,0.37431212270286718,0.5832368146844068,0.95754893738727398,0.37431212270286718,0.5832368146844068,0.95754893738727398,0.34349300000000005,0.75600349999999994,1.0994964999999999,1.0897227096414399,0.77147369646358366,0.87089766760264731,1.0897227096414399,0.77147369646358366,0.87089766760264731,0.00012252531656115618,0.00040000000000000007,1,1,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,5,0.29999999999999999,0.375,0.075000000000000011,0.41051603916164026,0.62953359737471837,1.0400496365363585,0.41051603916164026,0.62953359737471837,1.0400496365363585,0.32654699999999992,0.82852799999999993,1.1550749999999999,1.2571422771044913,0.75982175300619703,0.90041740712625473,1.2571422771044913,0.75982175300619703,0.90041740712625473,0.0002086646980362878,0.00040000000000000007,1,0,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,6,0.375,0.42499999999999999,0.050000000000000003,0.43866886171032782,0.64841485233631713,1.0870837140466449,0.43866886171032782,0.64841485233631713,1.0870837140466449,0.28350200000000014,0.77800790000000009,1.0615099000000003,1.5473219296877185,0.83342965069675645,1.0240919223142853,1.5473219296877185,0.83342965069675645,1.0240919223142853,0.00011459128529287063,0.00040000000000000007,1,1,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,7,0.42499999999999999,0.5,0.075000000000000011,0.48029095221859563,0.64918883757742352,1.1294797897960192,0.48029095221859563,0.64918883757742352,1.1294797897960192,0.24981399999999998,0.7674803,1.0172943000000001,1.9225942189732987,0.84587035990034343,1.1102783037278583,1.9225942189732987,0.84587035990034343,1.1102783037278583,0.00020454842530320374,0.00040000000000000007,1,0,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,8,0.5,0.55000000000000004,0.050000000000000003,0.50989836762355578,0.64121233006621015,1.151110697689766,0.50989836762355578,0.64121233006621015,1.151110697689766,0.19887100000000002,0.57033650000000002,0.76920750000000004,2.5639654229302198,1.124270198498974,1.4964891757942635,2.5639654229302198,1.124270198498974,1.4964891757942635,0.00010323119128773709,0.00040000000000000007,1,1,8,6,false,false,false,false,false
flowstar_style_o6_candidate8_output6_cutoff,9,0.55000000000000004,0.625,0.075000000000000011,0.55234390067942996,0.61085442465701123,1.1631983253364413,0.55234390067942996,0.61085442465701123,1.1631983253364413,0.18237199999999998,0.61138140000000007,0.79375340000000005,3.028666136684524,0.99913805794060984,1.4654404319231151,3.028666136684524,0.99913805794060984,1.4654404319231151,0.00019317985365385778,0.00040000000000000007,1,0,8,6,false,false,false,false,false
