plant,device,backend,mode,batch,step,lane,bitwise_equal,box_set,scope,check,accepted
brusselator,cuda,sparse,strict,2,1,0,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,2,1,1,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,2,2,0,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,2,2,1,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,0,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,1,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,2,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,3,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,4,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,5,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,6,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,1,7,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,0,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,1,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,2,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,3,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,4,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,5,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,6,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
brusselator,cuda,sparse,strict,8,2,7,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
van_der_pol,cuda,sparse,strict,2,1,0,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
van_der_pol,cuda,sparse,strict,2,1,1,True,repeated_full_box,TWO_STEP_DIAGNOSTIC,,
