category,operation,calls
A,aten._local_scalar_dense.default,3112
A,aten.add.Tensor,1463
A,aten.all.default,2929
A,aten.any.default,15
A,aten.clone.default,1569
A,aten.copy_.default,8
A,aten.detach.default,166
A,aten.empty.memory_format,1
A,aten.empty_like.default,1
A,aten.eq.Scalar,2926
A,aten.gt.Tensor,5
A,aten.isnan.default,10
A,aten.le.Tensor,3
A,aten.ne.Scalar,168
A,aten.select.int,34
A,aten.stack.default,2
A,aten.unbind.int,4
A,aten.view.default,1475
A,aten.zeros.default,1
A,aten.zeros_like.default,1463
B,aten.add.Tensor,76
B,aten.detach.default,2
B,aten.expand.default,2
B,aten.lift_fresh.default,4
B,aten.mul.Tensor,77
B,aten.ones_like.default,4
B,aten.pow.Tensor_Scalar,72
B,aten.pow.Tensor_Tensor,1
B,aten.scatter_add_.default,1
B,aten.select.int,1
B,aten.slice.Tensor,5
B,aten.unsqueeze.default,3
B,aten.view.default,3
B,aten.zeros.default,1
B,aten.zeros_like.default,76
C,aten._local_scalar_dense.default,237
C,aten.abs.default,153
C,aten.add.Tensor,154
C,aten.all.default,159
C,aten.amax.default,60
C,aten.amin.default,60
C,aten.any.default,78
C,aten.bitwise_and.Tensor,391
C,aten.bitwise_or.Tensor,63
C,aten.cat.default,14
C,aten.clone.default,102
C,aten.detach.default,4
C,aten.eq.Scalar,776
C,aten.eq.Tensor,159
C,aten.expand.default,1
C,aten.full_like.default,274
C,aten.ge.Tensor,1
C,aten.gt.Tensor,30
C,aten.index.Tensor,84
C,aten.index_put_.default,42
C,aten.isnan.default,48
C,aten.le.Tensor,5
C,aten.lift_fresh.default,129
C,aten.lt.Tensor,3
C,aten.mul.Tensor,393
C,aten.ne.Scalar,153
C,aten.neg.default,6
C,aten.nextafter.default,274
C,aten.ones_like.default,18
C,aten.select.int,246
C,aten.slice.Tensor,68
C,aten.stack.default,68
C,aten.unsqueeze.default,24
C,aten.view.default,100
C,aten.where.self,662
C,aten.zeros.default,3
C,aten.zeros_like.default,235
D,aten._local_scalar_dense.default,13098
D,aten.abs.default,1704
D,aten.add.Tensor,4202
D,aten.any.default,13098
D,aten.bitwise_and.Tensor,426
D,aten.clone.default,7336
D,aten.full_like.default,2148
D,aten.ge.Scalar,426
D,aten.gt.Tensor,4366
