lane,segment_index,physical_time,controller_period,state,enclosure_kind,torch_width_median,torch_width_p95,torch_width_max,xiangru_width_median,xiangru_width_p95,xiangru_width_max,torch_over_xiangru_ratio_median,torch_over_xiangru_ratio_p95,torch_over_xiangru_ratio_max,torch_hull_width,xiangru_hull_width,torch_polynomial_range_width_median,torch_polynomial_range_width_p95,torch_polynomial_range_width_max,xiangru_polynomial_range_width_median,xiangru_polynomial_range_width_p95,xiangru_polynomial_range_width_max,torch_interval_remainder_width_median,torch_interval_remainder_width_p95,torch_interval_remainder_width_max,xiangru_interval_remainder_width_median,xiangru_interval_remainder_width_p95,xiangru_interval_remainder_width_max,maximum_lower_abs_difference,maximum_upper_abs_difference,torch_contains_xiangru_leaf_count,xiangru_contains_torch_leaf_count,minimum_torch_property_margin,minimum_xiangru_property_margin
common_control_plant_replay,1,0.1,1,x1,endpoint,0.014290496219053317,0.01429780062978297,0.01429847182816657,0.014294522689815126,0.01430182725139147,0.014302503272781375,0.9997182416020579,0.9997190955236388,0.9997193863495772,0.10966662854798559,0.1096706671223322,0.014151135302342363,0.01415113530234428,0.014151135302344776,0.014151135300817928,0.014151135300818143,0.014151135300818154,0.0001393609167110531,0.00014666532744013355,0.0001473365258223766,0.00014338738899722717,0.00015069195057349936,0.00015136797196338647,2.173854123377339e-07,3.823427394800127e-06,0,48,1.36340921681821,1.3634053933908152
common_control_plant_replay,1,0.1,1,x2,endpoint,0.01897979477149958,0.018987875187787266,0.0189882113629386,0.01902221286296296,0.01903036509622793,0.01903066896777894,0.9977700108405225,0.9977750795168726,0.9977768510929663,0.11062445005882127,0.11066683416413237,0.018833390594161774,0.01883339059416395,0.01883339059416418,0.018837676829470018,0.01883767682947011,0.01883767682947024,0.00014640417733801958,0.0001544845936251715,0.00015482076877454198,0.0001845360334929259,0.00019268826675790867,0.00019299213830885605,4.317012626486871e-06,3.8234274126525136e-05,0,48,1.229930404781128,1.229926089029072
common_control_plant_replay,1,0.1,1,x3,endpoint,0.11153139183695324,0.1115539677191118,0.11155618422237168,0.11153139183233282,0.11155396771449139,0.11155618421775124,1.000000000041427,1.000000000041436,1.0000000000414382,0.11221932886629826,0.11221932886167776,0.11153139183456251,0.11155396771672103,0.1115561842199809,0.11153139183233282,0.11155396771449139,0.11155618421775124,2.390745024811963e-12,2.3908021005699374e-12,2.390809442571989e-12,0.0,0.0,0.0,2.3104851365474133e-12,2.31012431406441e-12,48,0,1.649033107989653,1.6490331079919636
common_control_plant_replay,1,0.1,1,x4,endpoint,0.13062783669331057,0.13107935433648382,0.13112368440168143,0.13062783668865285,0.13107935433182472,0.1311236843970225,1.0000000000356564,1.0000000000357994,1.0000000000358285,0.1443865772802112,0.14438657727555237,0.13062783669088734,0.13107935433405965,0.13112368439925723,0.13062783668865285,0.13107935433182472,0.1311236843970225,2.4234450746518916e-12,2.424567017721523e-12,2.424706297073433e-12,0.0,0.0,0.0,2.3295254614197347e-12,2.3301360840832785e-12,48,0,1.374951262903847,1.374951262906177
common_control_plant_replay,1,0.1,1,u1,endpoint,0.3062783669129221,0.3107935433446585,0.31123684399663354,0.3062783669065272,0.3107935433382464,0.31123684399022267,1.0000000000208793,1.000000000021259,1.0000000000213327,0.44386577278192973,0.4438657727755224,0.3062783669090935,0.31079354334081705,0.3112368439927918,0.3062783669065272,0.3107935433382464,0.31123684399022267,3.831721191879889e-12,3.845356152175714e-12,3.846753180192052e-12,0.0,0.0,0.0,3.204547738278052e-12,3.2169822361538536e-12,48,0,N/A,N/A
common_control_plant_replay,1,0.1,1,x1,tube,0.08295388937267328,0.08720667989451489,0.08735422609289945,0.08195290394467869,0.0861987501729217,0.08634630119431164,1.0122147142363596,1.0127921350332247,1.0128165335771353,0.17441671728679187,0.17340879027580447,0.08281452845596224,0.08706001456707475,0.08720688956707706,0.08180951655568147,0.0860480582223482,0.08619493322234825,0.0001393609167110531,0.00014666532744013355,0.0001473365258223766,0.00014338738899722717,0.00015069195057349936,0.00015136797196338647,2.1738551814198814e-07,0.0010081585745042032,0,0,1.2988455167737278,1.2998536589317733
common_control_plant_replay,1,0.1,1,x2,tube,0.09119993887302025,0.09560346104312194,0.09579926563275765,0.08637915340977992,0.09076230564304491,0.09076260951459592,1.0558086048798692,1.059957423737106,1.0612339098188335,0.1787176542230734,0.1740969275662979,0.09105353469568223,0.09544897644949676,0.0956444448639831,0.08619461737628697,0.090569617376287,0.09056961737628706,0.00014640417733801958,0.0001544845936251715,0.00015482076877454198,0.0001845360334929259,0.00019268826675790867,0.00019299213830885605,6.557119784234011e-05,0.004971106044413309,48,0,1.2260066619192058,1.2260722119929541
common_control_plant_replay,1,0.1,1,x3,tube,0.16666463076085936,0.16694137081225702,0.1670227692502623,0.16087788185018026,0.16116886765693403,0.1612524368526413,1.0358434896977708,1.0375220056104466,1.0383690935392669,0.1672193288663151,0.1612524368526413,0.1666646307584686,0.1669413708098662,0.1670227692478715,0.16087788185018026,0.16116886765693403,0.1612524368526413,2.390745024811963e-12,2.3908021005699374e-12,2.390809442571989e-12,0.0,0.0,0.0,0.0059668920113553625,0.00019434782519731075,48,0,1.5940331079896446,1.600000000001
common_control_plant_replay,1,0.1,1,x4,tube,0.13329261517111018,0.13882741619906547,0.14045538495917015,0.1306278366886529,0.1310793543318248,0.13112368439702243,1.0213486478714513,1.0605574483653253,1.073708786134121,0.14438657728022625,0.14438657727555243,0.13329261516868696,0.13882741619664093,0.14045538495674545,0.1306278366886529,0.1310793543318248,0.13112368439702243,2.4234450746518916e-12,2.424567017721523e-12,2.424706297073433e-12,0.0,0.0,0.0,0.00964208923548665,0.003886956459915214,48,0,1.3749512629038396,1.374951262906177
common_control_plant_replay,1,0.1,1,u1,tube,0.3062783669131619,0.3107935433449013,0.3112368439968751,0.3062783669065272,0.3107935433382464,0.31123684399022267,1.0000000000216664,1.0000000000220617,1.0000000000221378,0.4438657727821713,0.4438657727755224,0.3062783669093333,0.31079354334105985,0.31123684399303336,0.3062783669065272,0.3107935433382464,0.31123684399022267,3.831721191879889e-12,3.845356152175714e-12,3.846753180192052e-12,0.0,0.0,0.0,3.327116360196669e-12,3.339550858072471e-12,48,0,N/A,N/A
common_control_plant_replay,2,0.2,1,x1,endpoint,0.016071831667299696,0.016086864067702652,0.016089290387716226,0.016084213875394743,0.01609923844228208,0.01610169123471894,0.99923014062877,0.9992338775886874,0.9992350069205737,0.11837367324718068,0.11838612347154209,0.015766646345401612,0.015766661906733336,0.015766663071960785,0.01576664634386428,0.015766661905191805,0.015766663070419004,0.00030518131320148126,0.0003202275244418819,0.0003226550404042136,0.00031756352283549065,0.0003326019005590189,0.0003350558889460719,9.087542232055767e-07,1.1548157859087027e-05,0,48,1.4333896314388994,1.4333780832810403
