analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_unavailable_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,4.774598410935141,0.0,True,100,cpu,float64,4.653791499848012,1.0,completed,0.05146920803235844,0.01,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.591700129210949e-05,0,1.0,100,0,total_configuration_v2,4.774598410935141,0.046478290983941406,4.774598410935141,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,4.229432749154512,1.0,completed,0.04645674995845184,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.25000461190939e-06,1,1.0,100,0,total_configuration_v2,4.335635828960221,0.04254400002537295,4.335635828960221,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,4.203664872853551,1.0,completed,0.042252874991390854,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.0665971785783768e-05,2,1.0,100,0,total_configuration_v2,4.309496542089619,0.04258941696025431,4.309496542089619,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,4.133900750312023,1.0,completed,0.0460780420107767,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.542024832218885e-06,3,1.0,100,0,total_configuration_v2,4.237617287144531,0.04218229203252122,4.237617287144531,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,4.409612874849699,1.0,completed,0.04076224996242672,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.000002708286047e-06,4,1.0,100,0,total_configuration_v2,4.519748042977881,0.04265479103196412,4.519748042977881,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,4.198646911594551,1.0,completed,0.04094699997222051,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.0420210249722e-06,5,1.0,100,0,total_configuration_v2,4.303230800142046,0.04268937499728054,4.303230800142046,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,5.172067752107978,1.0,completed,0.04063666600268334,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2499978765845299e-05,6,1.0,100,0,total_configuration_v2,5.292939289065544,0.0414143749512732,5.292939289065544,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,5.463066661148332,1.0,completed,0.054222417005803436,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,9.875046089291573e-06,7,1.0,100,0,total_configuration_v2,5.594520924962126,0.046205082966480404,5.594520924962126,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,6.571214083174709,1.0,completed,0.04123470897320658,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.3833981938660145e-05,8,1.0,100,0,total_configuration_v2,6.7235817517503165,0.04828475002432242,6.7235817517503165,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,0.0,0.0,True,100,cpu,float64,5.172679957933724,1.0,completed,0.08747887500794604,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.691700890660286e-05,9,1.0,100,0,total_configuration_v2,5.2938668808783405,0.041535208001732826,5.2938668808783405,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
